"","n_patients","n_survived","treatment","blocker","time","site"
"1",59,53,"active","yes","<=12","anterior"
"2",49,42,"placebo","yes","<=12","anterior"
"3",227,207,"active","no","<=12","anterior"
"4",262,220,"placebo","no","<=12","anterior"
"5",58,50,"active","yes",">12","anterior"
"6",56,44,"placebo","yes",">12","anterior"
"7",270,241,"active","no",">12","anterior"
"8",293,257,"placebo","no",">12","anterior"
"9",48,41,"active","yes","<=12","inferior"
"10",37,32,"placebo","yes","<=12","inferior"
"11",245,223,"active","no","<=12","inferior"
"12",230,210,"placebo","no","<=12","inferior"
"13",44,40,"active","yes",">12","inferior"
"14",54,50,"placebo","yes",">12","inferior"
"15",237,226,"active","no",">12","inferior"
"16",239,226,"placebo","no",">12","inferior"
"17",14,12,"active","yes","<=12","other"
"18",28,20,"placebo","yes","<=12","other"
"19",82,73,"active","no","<=12","other"
"20",96,83,"placebo","no","<=12","other"
"21",20,18,"active","yes",">12","other"
"22",22,17,"placebo","yes",">12","other"
"23",103,90,"active","no",">12","other"
"24",120,102,"placebo","no",">12","other"
